D=256 
  1000x 256|        11 |         17
  6000x 256|        54 |        143
 11000x 256|       114 |        253
 16000x 256|       196 |        385
 21000x 256|       322 |        530
 26000x 256|       461 |        650
 31000x 256|       526 |        811
 36000x 256|       615 |        969
 41000x 256|       822 |       1119
 46000x 256|       937 |       1266
 51000x 256|      1184 |       1395
 56000x 256|      1415 |       2108
 61000x 256|      1299 |       1748
 66000x 256|      1830 |       2228
