D=125 
  1000x 125|         5 |          3
  2000x 125|        11 |          7
  3000x 125|        15 |         11
  4000x 125|        22 |         17
  5000x 125|        27 |         20
  6000x 125|        37 |         26
  7000x 125|        48 |         39
  8000x 125|        54 |         40
  9000x 125|        65 |         41
 10000x 125|        69 |         46
 11000x 125|        83 |         52
 12000x 125|        90 |         57
 13000x 125|       112 |         66
 14000x 125|       111 |         70
 15000x 125|       137 |         83
 16000x 125|       152 |         87
 17000x 125|       152 |         92
 18000x 125|       183 |         98
 19000x 125|       185 |         97
 20000x 125|       209 |        111
 21000x 125|       212 |        107
 22000x 125|       220 |        114
 23000x 125|       216 |        119
 24000x 125|       260 |        124
 25000x 125|       300 |        134
 26000x 125|       297 |        135
 27000x 125|       298 |        146
 28000x 125|       311 |        147
 29000x 125|       307 |        153
 30000x 125|       334 |        163
 31000x 125|       425 |        170
 32000x 125|       414 |        185
 33000x 125|       392 |        185
 34000x 125|       459 |        195
 35000x 125|       452 |        197
 36000x 125|       431 |        204
 37000x 125|       507 |        210
 38000x 125|       583 |        227
 39000x 125|       477 |        220
 40000x 125|       423 |        226
 41000x 125|       506 |        235
 42000x 125|       478 |        245
 43000x 125|       520 |        263
 44000x 125|       532 |        310
 45000x 125|       502 |        265
 46000x 125|       679 |        263
 47000x 125|       769 |        269
 48000x 125|       709 |        327
 49000x 125|       813 |        280
 50000x 125|       779 |        289
 51000x 125|       789 |        294
 52000x 125|       792 |        332
 53000x 125|       898 |        306
 54000x 125|       915 |        313
 55000x 125|       866 |        325
 56000x 125|       946 |        336
 57000x 125|      1040 |        382
 58000x 125|       757 |        360
 59000x 125|      1199 |        353
 60000x 125|      1005 |        430
 61000x 125|       894 |        372
 62000x 125|      1050 |        487
 63000x 125|       971 |        388
 64000x 125|      1349 |        384
 65000x 125|      1043 |        584
 66000x 125|      1324 |        478
 67000x 125|       897 |        527
 68000x 125|      1162 |        435
 69000x 125|      1177 |        519
 70000x 125|      1483 |        439
